Fid,LATITUDE,LONGITUDE,wdate,precipitation,temp_max,temp_min,wind,weather
182.22.25.252-10.42.0.211-443-38317-6,41.29199,-73.08763237,01-01-22,0,12.8,5,4.7,drizzle
10.42.0.211-10.42.0.1-21050-53-17,41.16741635,-73.18843759,02-01-22,10.9,10.6,2.8,4.5,rain
172.217.3.106-10.42.0.151-443-37301-6,41.03868956,-73.63528264,03-01-22,0.8,11.7,7.2,2.3,rain
205.185.216.10-10.42.0.42-80-52881-6,41.43886103,-73.40586799,04-01-22,20.3,12.2,5.6,4.7,rain
180.163.255.159-10.42.0.211-80-54110-6,41.03246509,-73.64025368,05-01-22,1.3,8.9,2.8,6.1,rain
216.58.219.227-10.42.0.151-443-59349-6,41.2513808,-73.29504518,06-01-22,2.5,4.4,2.2,2.2,rain
172.217.12.206-10.42.0.151-443-56885-6,41.21817096,-73.20153691,07-01-22,0,7.2,2.8,2.3,rain
172.217.10.138-10.42.0.211-443-35717-6,41.38099407,-73.28094678,08-01-22,0,10,2.8,2,sun
10.42.0.211-10.42.0.1-57471-53-17,41.14876104,-73.28587186,09-01-22,4.3,9.4,5,3.4,rain
10.42.0.151-10.42.0.1-24188-53-17,41.37920073,-73.35530869,10-01-22,1,6.1,0.6,3.4,rain
172.217.10.67-10.42.0.42-443-55654-6,41.26041515,-73.42846392,11-01-22,0,6.1,-1.1,5.1,sun
172.217.10.34-10.42.0.211-443-49756-6,30.35841995,-97.95460444,12-01-22,0,6.1,-1.7,1.9,sun
10.42.0.211-98.139.199.205-53578-443-6,41.13691902,-73.36574725,13-01-22,0,5,-2.8,1.3,sun
217.10.138.216-10.42.0.211-80-57856-6,41.0737512,-73.51692887,14-01-22,4.1,4.4,0.6,5.3,drizzle
183.79.248.252-10.42.0.151-443-41050-6,41.03653867,-73.52481887,15-01-22,5.3,1.1,-3.3,3.2,drizzle
10.42.0.211-64.71.142.125-42022-443-6,41.13467946,-73.37345886,16-01-22,2.5,1.7,-2.8,5,drizzle
216.58.219.238-10.42.0.151-443-39493-6,41.20019065,-73.25350969,17-01-22,8.1,3.3,0,5.6,drizzle
10.42.0.211-10.42.0.1-50730-53-17,41.33012465,-73.20921803,18-01-22,19.8,0,-2.8,5,drizzle
10.42.0.211-112.80.248.187-46314-80-6,41.2819258,-73.5051774,19-01-22,15.2,-1.1,-2.8,1.6,drizzle
172.217.7.163-10.42.0.211-443-43925-6,41.23817816,-73.22313433,20-01-22,13.5,7.2,-1.1,2.3,drizzle
172.217.3.110-10.42.0.151-443-39780-6,41.23995837,-73.14498183,21-01-22,3,8.3,3.3,8.2,rain
10.42.0.151-52.84.61.117-47253-443-6,41.15707908,-73.5982361,22-01-22,6.1,6.7,2.2,4.8,rain
10.42.0.151-10.42.0.1-50793-53-17,41.04730443,-73.62409839,23-01-22,0,8.3,1.1,3.6,rain
222.73.28.96-10.42.0.211-80-41497-6,41.07268242,-73.60271924,24-01-22,8.6,10,2.2,5.1,rain
198.11.136.24-10.42.0.211-443-39254-6,41.09198213,-73.53416884,25-01-22,8.1,8.9,4.4,5.4,rain
